timestamp,url,concurrency,requests,errors,total_time_s,throughput_rps,p50_ms,p95_ms,p99_ms,mean_ms
2026-08-14T13:01:56.663060,http://localhost:8002/invoke,1,100,0,10.8561,9.2115,105.8534,119.5785,124.3243,108.4142
2026-08-14T13:02:07.598096,http://localhost:8002/invoke,1,100,0,10.9346,9.1452,105.8908,122.0026,127.6126,109.1907
2026-08-14T13:02:18.375410,http://localhost:8002/invoke,1,100,0,10.777,9.279,105.2437,119.2247,122.0054,107.6332
2026-08-14T13:02:20.570654,http://localhost:8002/invoke,5,100,0,2.1949,45.5609,105.5297,119.0958,124.9959,108.1539
2026-08-14T13:02:22.758348,http://localhost:8002/invoke,5,100,0,2.1873,45.7189,105.4062,119.9089,126.8979,107.8543
2026-08-14T13:02:24.982292,http://localhost:8002/invoke,5,100,0,2.223,44.9833,106.0755,123.7326,128.111,109.0581
2026-08-14T13:02:26.115405,http://localhost:8002/invoke,10,100,0,1.1326,88.2925,108.9721,121.0949,127.4003,110.592
2026-08-14T13:02:27.241617,http://localhost:8002/invoke,10,100,0,1.1259,88.8215,106.1443,117.9377,126.2862,108.2087
2026-08-14T13:02:28.376884,http://localhost:8002/invoke,10,100,0,1.1349,88.1122,105.7926,123.865,125.4074,107.9085
2026-08-14T13:02:28.880970,http://localhost:8002/invoke,25,100,0,0.5037,198.5122,111.2009,127.2945,128.2441,112.6956
2026-08-14T13:02:29.384408,http://localhost:8002/invoke,25,100,0,0.5031,198.7723,115.5033,125.165,126.4553,115.6238
2026-08-14T13:02:29.870741,http://localhost:8002/invoke,25,100,0,0.4859,205.7986,111.1785,123.9041,126.1729,112.5521
2026-08-14T13:02:45.054262,http://localhost:8002/invoke,1,100,0,10.7802,9.2762,105.3983,117.7653,121.7458,107.6683
2026-08-14T13:02:55.784807,http://localhost:8002/invoke,1,100,0,10.7302,9.3195,105.0622,120.3321,125.992,107.1721
2026-08-14T13:03:06.587323,http://localhost:8002/invoke,1,100,0,10.8017,9.2578,105.4603,117.813,122.8049,107.8815
2026-08-14T13:03:08.740864,http://localhost:8002/invoke,5,100,0,2.1528,46.452,105.8316,114.6623,116.6852,106.8794
2026-08-14T13:03:10.900183,http://localhost:8002/invoke,5,100,0,2.1589,46.3191,104.9935,117.9691,123.6313,107.0596
2026-08-14T13:03:13.110048,http://localhost:8002/invoke,5,100,0,2.2094,45.2616,105.7615,115.8383,119.8144,107.8995
2026-08-14T13:03:14.219708,http://localhost:8002/invoke,10,100,0,1.1093,90.1481,106.3689,114.6323,117.4333,107.7567
2026-08-14T13:03:15.329709,http://localhost:8002/invoke,10,100,0,1.1097,90.1181,105.2389,120.276,129.4887,108.2251
2026-08-14T13:03:16.433329,http://localhost:8002/invoke,10,100,0,1.1033,90.6409,106.3629,117.8086,118.8761,108.1036
2026-08-14T13:03:16.934505,http://localhost:8002/invoke,25,100,0,0.5008,199.6852,112.2272,128.3643,129.4084,113.7128
2026-08-14T13:03:17.412919,http://localhost:8002/invoke,25,100,0,0.4781,209.1655,108.9778,124.9097,126.1445,111.1426
2026-08-14T13:03:17.902564,http://localhost:8002/invoke,25,100,0,0.4893,204.3777,109.9417,124.7161,129.5692,111.9073
2026-08-14T13:03:28.950496,http://localhost:8002/invoke,1,100,0,10.8426,9.2229,105.7028,119.618,121.8482,108.2788
2026-08-14T13:03:40.017825,http://localhost:8002/invoke,1,100,0,11.067,9.0359,106.9601,120.8159,122.4802,110.5174
2026-08-14T13:03:50.876846,http://localhost:8002/invoke,1,100,0,10.8587,9.2092,106.282,119.6836,121.7004,108.426
2026-08-14T13:03:53.048990,http://localhost:8002/invoke,5,100,0,2.1718,46.0454,105.1352,115.4836,119.7357,106.936
2026-08-14T13:03:55.239661,http://localhost:8002/invoke,5,100,0,2.1902,45.6583,106.8408,118.9734,129.758,107.8927
2026-08-14T13:03:57.442686,http://localhost:8002/invoke,5,100,0,2.2025,45.402,106.7622,118.7263,127.4511,108.4326
2026-08-14T13:03:58.554138,http://localhost:8002/invoke,10,100,0,1.111,90.0059,105.8838,119.487,129.3872,108.0312
2026-08-14T13:03:59.658969,http://localhost:8002/invoke,10,100,0,1.1045,90.5371,107.1258,118.8092,128.0477,108.8612
2026-08-14T13:04:00.768341,http://localhost:8002/invoke,10,100,0,1.109,90.1677,108.2389,118.4439,121.2497,109.5809
2026-08-14T13:04:01.250979,http://localhost:8002/invoke,25,100,0,0.4821,207.4371,108.9356,128.1319,129.3478,111.8218
2026-08-14T13:04:01.729882,http://localhost:8002/invoke,25,100,0,0.4786,208.9543,108.3839,125.2481,127.4919,111.2285
2026-08-14T13:04:02.204519,http://localhost:8002/invoke,25,100,0,0.4743,210.8403,108.3218,124.5906,125.8104,110.343
