timestamp,url,format,concurrency,requests,errors,total_time_s,throughput_rps,p50_ms,p95_ms,p99_ms,mean_ms
2026-08-31T07:08:00.294292,http://localhost:8001/run,tool,300,20000,4726,54.4713,367.1656,706.4055,760.9982,10014.4016,696.7928
2026-08-31T07:10:14.837356,http://localhost:8001/run,tool,100,20000,4718,51.4496,388.7299,214.9978,276.143,284.9564,231.7013
2026-08-31T07:17:04.622495,http://localhost:8001/run,tool,100,20000,4744,59.1101,338.3519,216.027,274.3321,288.1697,249.614 (busy = 200)
2026-08-31T07:20:31.298767,http://localhost:8001/run,tool,100,5000,0,12.1773,410.5987,233.5625,276.3524,283.1534,239.3524
2026-08-31T07:24:22.513764,http://localhost:8001/run,tool,100,5000,0,12.2276,408.9105,228.8216,275.0491,281.9715,239.9153
2026-08-31T07:25:26.681258,http://localhost:8001/run,tool,100,10000,1,24.3313,410.994,234.1588,274.569,281.3516,240.8262
2026-08-31T07:25:56.740262,http://localhost:8001/run,tool,100,10000,9678,12.6355,791.4191,20.9394,45.4915,916.5205,97.1786
2026-08-31T07:27:42.489036,http://localhost:8001/run,tool,100,10000,0,24.3547,410.5985,229.4636,276.9204,283.241,240.7543
2026-08-31T07:33:56.693372,http://localhost:8001/run,tool,100,10000,4671,24.9297,401.1277,208.1949,274.4773,711.8468,202.5518
2026-08-31T07:35:15.029301,http://localhost:8001/run,tool,100,10000,5,24.5831,406.7828,230.5712,277.0317,284.4641,240.7963
2026-08-31T07:37:02.853710,http://localhost:8001/run,tool,100,10000,0,24.3069,411.4053,238.2402,277.0541,284.7655,239.4947
